alias,canonical_candidate
ALEX PADILLA,ALEX PADILLA
BENNET,MICHAEL BENNET
BLAKE MASTERS,BLAKE MASTERS
BLUMENTHAL,DICK BLUMENTHAL
BOLDUC,DON BOLDUC
BOOKER,CHARLES BOOKER
BOOZMAN,JOHN BOOZMAN
BRIAN BENGS,BRIAN BENGS
BRITT,KATIE BRITT
BUDD,TED BUDD
CATHERINE CORTEZ MASTO,CATHERINE CORTEZ MASTO
CORTEZ MASTO,CATHERINE CORTEZ MASTO
CHERI BEASLEY,CHERI BEASLEY
CHESBRO,PATRICIA CHESBRO
CLEVELAND,SCOTT CLEVELAND
DAVID ROTH,DAVID ROTH
DOCTOR OZ,MEHMET OZ
OZ,MEHMET OZ
FETTERMAN,JOHN FETTERMAN
FEENA BONOAN,FEENA BONOAN
JOHN THUNE,JOHN THUNE
MIKE LEE,MIKE LEE
RICK BECKER,RICK BECKER
SCHUMER,CHUCK SCHUMER
TODD YOUNG,TODD YOUNG
GERALD MALLOY,GERALD MALLOY
GRASSLEY,CHUCK GRASSLEY
HOEVEN,JOHN HOEVEN
HOLLAND,MARK HOLLAND
JAMES,NATALIE JAMES
JD VANCE,JD VANCE
VANCE,JD VANCE
JO RAE PERKINS,JO RAE PERKINS
PERKINS,JO RAE PERKINS
JOE ODEA,JOE O'DEA
JOE O'DEA,JOE O'DEA
KENNEDY,JOHN NEELY KENNEDY
KATHY SALVI,KATHY SALVI
KATRINA,KATRINA CHRISTIANSEN
KAUFFMAN,JEREMY KAUFFMAN
KELLY ALASKA,KELLY TSHIBAKA
KENDRA HORN,KENDRA HORN
KRYSTLE MATTHEWS,KRYSTLE MATTHEWS
LAXALT,ADAM LAXALT
LEORA LEVY,LEORA LEVY
LISA MURKOWSKI,LISA MURKOWSKI
LUKE MIXON,LUKE MIXON
MAGGIE,MAGGIE HASSAN
MANDELA BARNES,MANDELA BARNES
MARC VICTOR,MARC VICTOR
MARCO RUBIO,MARCO RUBIO
MARK KELLY,MARK KELLY
MARK MEUSER,MARK MEUSER
MCMULLIN,EVAN MCMULLIN
MICHAEL FRANKEN,MICHAEL FRANKEN
MIKE CRAPO,MIKE CRAPO
MORAN,JERRY MORAN
MULLIN,MARKWAYNE MULLIN
MADISON HORN,MADISON HORN
PATTY MURRAY,PATTY MURRAY
PEOPLE FOR PATTY,PATTY MURRAY
RAND PAUL,RAND PAUL
REDPATH,WILLIAM REDPATH
RON JOHNSON,RON JOHNSON
SCENIAK,JAMES SCENIAK
SCHATZ,BRIAN SCHATZ
SCHMITT,ERIC SCHMITT
SMILEY,TIFFANY SMILEY
SYRITA STEIB,SYRITA STEIB
TAMMY,TAMMY DUCKWORTH
TEAM HERSCHEL,HERSCHEL WALKER
HERSCHEL,HERSCHEL WALKER
TED BUDD,TED BUDD
TIM RYAN,TIM RYAN
TIM SCOTT,TIM SCOTT
TRUDY BUSCH VALENTINE,TRUDY BUSCH VALENTINE
VAL DEMINGS,VAL DEMINGS
VAN HOLLEN,CHRIS VAN HOLLEN
WARNOCK,RAPHAEL WARNOCK
WELCH,PETER WELCH
WILL BOYD,WILL BOYD
WYDEN,RON WYDEN
